round,value,daily_double,category,comments,answer,question,air_date,notes,Difficulty
2,600,no,SPORTS BIRDS,-,"Every fall, these â€œpredatorsâ€ take wing in the AFC West",Seahawks,11/11/1985,1985 Tournament of Champions quarterfinal game 1.,Expert
2,800,no,SPORTS BIRDS,-,"Appropriately, these birds play in the National Hockey League",Pittsburgh Penguins,11/11/1985,1985 Tournament of Champions quarterfinal game 1.,Expert
2,1000,no,SPORTS BIRDS,-,Only NBA team that qualifies for this category,Hawks,11/11/1985,1985 Tournament of Champions quarterfinal game 1.,Expert
2,200,no,TOUGH TRIVIA,-,Knob you adjust if your picture rolls,vertical,11/11/1985,1985 Tournament of Champions quarterfinal game 1.,Expert
2,2000,yes,TOUGH TRIVIA,-,Regis Philbin was his Ed McMahon,Joey Bishop,11/11/1985,1985 Tournament of Champions quarterfinal game 1.,Expert
2,600,no,TOUGH TRIVIA,-,Role Hans Conreid played â€œrelativelyâ€ well on â€œMake Room For Daddyâ€,Uncle Tonoose,11/11/1985,1985 Tournament of Champions quarterfinal game 1.,Expert
2,800,no,TOUGH TRIVIA,-,"Of a Sunbeam, Triumph, or Austin-Healey, Maxwell Smart's car",Sunbeam,11/11/1985,1985 Tournament of Champions quarterfinal game 1.,Expert
2,1000,no,TOUGH TRIVIA,-,Miss Landers taught this title character his ABCs,Beaver Cleaver,11/11/1985,1985 Tournament of Champions quarterfinal game 1.,Expert
2,200,no,ART,-,"The most delicate of these is made of only 150-200 sable hairs, weighing .000529 oz. altogether",paintbrush,11/11/1985,1985 Tournament of Champions quarterfinal game 1.,Expert
2,400,no,ART,-,"The Mogul school introduced western perspective, not a Hollywood one, to art of this country",India,11/11/1985,1985 Tournament of Champions quarterfinal game 1.,Expert
2,600,no,ART,-,"â€œFrom today painting is deadâ€, said a French artist upon seeing this type of picture in 1839","Daguerreotype, photograph",11/11/1985,1985 Tournament of Champions quarterfinal game 1.,Expert
2,800,no,ART,-,Highest price for painting by a female was $1.1 mil. for â€œReading Le Figaroâ€ by this U.S. artist,Mary Cassatt,11/11/1985,1985 Tournament of Champions quarterfinal game 1.,Expert
2,1000,no,ART,-,"In 1517, this French king & patron of da Vinci orig. bought the â€œMona Lisaâ€ to hang in his bathroom",FranÃ§ois I,11/11/1985,1985 Tournament of Champions quarterfinal game 1.,Expert
2,200,no,Â€ŒSOUTHÂ€,-,State where gold was found in 1874 when Custer led expedition to explore it,South Dakota,11/11/1985,1985 Tournament of Champions quarterfinal game 1.,Expert
2,400,no,Â€ŒSOUTHÂ€,-,"Until 1963, Studebakers were made in this Indiana city",South Bend,11/11/1985,1985 Tournament of Champions quarterfinal game 1.,Expert
2,600,no,Â€ŒSOUTHÂ€,-,"Except for Thailand, all independent states in this area have won their freedom since 1945",Southeast Asia,11/11/1985,1985 Tournament of Champions quarterfinal game 1.,Expert
2,800,no,Â€ŒSOUTHÂ€,-,"As the Big Dipper points to the North Star, this major constellation points to the sky's South Pole",Southern Cross,11/11/1985,1985 Tournament of Champions quarterfinal game 1.,Expert
2,1000,no,Â€ŒSOUTHÂ€,-,"Helping to found it in 1957, Martin Luther King, Jr. headed this civil rights group until his death",Southern Christian Leadership Conference,11/11/1985,1985 Tournament of Champions quarterfinal game 1.,Expert
1,100,no,NATURE,-,"Grown on less than 1% of the land of the Netherlands, it's their living symbol",tulip,11/12/1985,1985 Tournament of Champions quarterfinal game 2.,Expert
1,200,no,NATURE,-,"Mycophagists, including humans, are eaters of this kind of fungus",mushrooms,11/12/1985,1985 Tournament of Champions quarterfinal game 2.,Expert
1,300,no,NATURE,-,The viceroy mimics this poisonous â€œroyalâ€ butterfly's appearance to avoid predators,monarch,11/12/1985,1985 Tournament of Champions quarterfinal game 2.,Expert
1,400,no,NATURE,-,"The most common one found in the home is â€œmus musculusâ€, which may be where Walt got the initials",mouse,11/12/1985,1985 Tournament of Champions quarterfinal game 2.,Expert
1,500,no,NATURE,-,"From Arabic â€œmawsimâ€, meaning â€œseasonâ€, it's the wind which changes direction with the seasons",monsoon,11/12/1985,1985 Tournament of Champions quarterfinal game 2.,Expert
1,100,no,MUSICAL NUMBERS,-,Number of players in a string septet,7,11/12/1985,1985 Tournament of Champions quarterfinal game 2.,Expert
1,200,no,MUSICAL NUMBERS,-,Ratio of quarter notes to a whole note,one-fourth,11/12/1985,1985 Tournament of Champions quarterfinal game 2.,Expert
1,300,no,MUSICAL NUMBERS,-,In song â€œmy gal'sâ€ height that rhymes with her eyes of blue,Five Foot Two,11/12/1985,1985 Tournament of Champions quarterfinal game 2.,Expert
1,400,no,MUSICAL NUMBERS,-,Number of movements in Grieg's Piano Concerto in A Minor,3,11/12/1985,1985 Tournament of Champions quarterfinal game 2.,Expert
1,500,no,MUSICAL NUMBERS,-,Number of strings on  a standard mandolin,8,11/12/1985,1985 Tournament of Champions quarterfinal game 2.,Expert
1,100,no,AMERICAN INDIANS,-,A more accurate translation of his name would be â€œwildâ€ or â€œunbrokenâ€ horse,Crazy Horse,11/12/1985,1985 Tournament of Champions quarterfinal game 2.,Expert
1,200,no,AMERICAN INDIANS,-,"When Indians made peace, they symbolically buried this weapon",hatchet,11/12/1985,1985 Tournament of Champions quarterfinal game 2.,Expert
1,300,no,AMERICAN INDIANS,-,Canadian Indians played 1st version of this sport with few rules & up to 1000 players in a game,lacrosse,11/12/1985,1985 Tournament of Champions quarterfinal game 2.,Expert
1,400,no,AMERICAN INDIANS,-,Side the Iroquois supported in the French & Indian War,British (English side),11/12/1985,1985 Tournament of Champions quarterfinal game 2.,Expert
1,500,no,AMERICAN INDIANS,-,Inter-tribal language of the North American Plains Indians,sign language,11/12/1985,1985 Tournament of Champions quarterfinal game 2.,Expert
1,100,no,HERBS & SPICES,-,â€œAromaâ€ was the word for spices in this ancient civilization,Greek (Greece),11/12/1985,1985 Tournament of Champions quarterfinal game 2.,Expert
1,200,no,HERBS & SPICES,-,"In Italian, â€œfinnochioâ€, it's a basic bottle in spice racks",fennel,11/12/1985,1985 Tournament of Champions quarterfinal game 2.,Expert
1,300,no,HERBS & SPICES,-,"From S. American word â€œkyinhaâ€, this type of pepper makes your mouth hot & beans â€œchiliâ€",cayenne,11/12/1985,1985 Tournament of Champions quarterfinal game 2.,Expert
1,400,no,HERBS & SPICES,-,Romans believed a garland of this garnish worn on the head would prevent drunkenness,parsley,11/12/1985,1985 Tournament of Champions quarterfinal game 2.,Expert
1,500,no,HERBS & SPICES,-,"From the nightshade family, its fleshy forked root sometimes resembles the human form",mandrake,11/12/1985,1985 Tournament of Champions quarterfinal game 2.,Expert
1,100,no,Â€™70S CINEMA,-,Tatum O'Neal won an Oscar for her film debut in this 1973 picture,Paper Moon,11/12/1985,1985 Tournament of Champions quarterfinal game 2.,Expert
1,200,no,Â€™70S CINEMA,-,"Movie that spawned the phrase â€œI'm as mad as hell, & I'm not going to take it anymoreâ€",Network,11/12/1985,1985 Tournament of Champions quarterfinal game 2.,Expert
1,300,no,Â€™70S CINEMA,-,"Movie that helped launch the careers of Jeff Bridges, Cybil Shepherd, & Peter Bogdanovich",The Last Picture Show,11/12/1985,1985 Tournament of Champions quarterfinal game 2.,Expert
1,400,no,Â€™70S CINEMA,-,"Top grossing film ever with budget under a mil., it gave George Lucas clout to make â€œStar Warsâ€",American Graffiti,11/12/1985,1985 Tournament of Champions quarterfinal game 2.,Expert
1,600,yes,Â€™70S CINEMA,-,3 of the 4 actors who sought â€œDeliveranceâ€ in that 1972 film,"Jon Voight, Burt Reynolds, Ronny Cox & Ned Beatty",11/12/1985,1985 Tournament of Champions quarterfinal game 2.,Expert
1,100,no,Â€ŒCCÂ€,-,"Ham, bologna, & pimiento loaf, for example",cold cuts,11/12/1985,1985 Tournament of Champions quarterfinal game 2.,Expert
1,200,no,Â€ŒCCÂ€,-,"TV's Clinton Corners or Jimmy's Plains, Georgia",Carter Country,11/12/1985,1985 Tournament of Champions quarterfinal game 2.,Expert
1,300,no,Â€ŒCCÂ€,-,When 1400 actresses show up to audition for 1 part,Cattle Call,11/12/1985,1985 Tournament of Champions quarterfinal game 2.,Expert
1,400,no,Â€ŒCCÂ€,-,In English this Texas city's name would be â€œThe body of Christâ€,Corpus Christi,11/12/1985,1985 Tournament of Champions quarterfinal game 2.,Expert
1,500,no,Â€ŒCCÂ€,-,"Acute viral disease of upper respiratory tract, marked by a â€œruddy doseâ€",common cold,11/12/1985,1985 Tournament of Champions quarterfinal game 2.,Expert
2,200,no,MEDICINE,-,Bacterium responsible for this outbreak was coined â€œLegionella Pneumophilaâ€,Legionnaires' Disease,11/12/1985,1985 Tournament of Champions quarterfinal game 2.,Expert
2,400,no,MEDICINE,-,George Washington is one of many whose death is attributed to â€œbleedingâ€ by these,leeches,11/12/1985,1985 Tournament of Champions quarterfinal game 2.,Expert
2,600,no,MEDICINE,-,This most popular U.S. aspirin was originally acquired from a German company as spoils of WWI,Bayer,11/12/1985,1985 Tournament of Champions quarterfinal game 2.,Expert
2,800,no,MEDICINE,-,L-Dopa has provided relief for sufferers of this â€œshaking palsyâ€,Parkinson's Disease,11/12/1985,1985 Tournament of Champions quarterfinal game 2.,Expert
2,1000,no,MEDICINE,-,Antiallergy drug 1st      found to help motion sickness when 1 patient took it before riding a streetcar,dramamine,11/12/1985,1985 Tournament of Champions quarterfinal game 2.,Expert
2,200,no,FRENCH PHRASES,-,"It means comradeship, comrade",camaraderie,11/12/1985,1985 Tournament of Champions quarterfinal game 2.,Expert
2,400,no,FRENCH PHRASES,-,Cooked in a covering of bread crumbs or cheese or both,au gratin,11/12/1985,1985 Tournament of Champions quarterfinal game 2.,Expert
2,600,no,FRENCH PHRASES,-,A railroad or a gambling game you could be railroaded in,chemin de fer,11/12/1985,1985 Tournament of Champions quarterfinal game 2.,Expert
2,800,no,FRENCH PHRASES,-,It could be â€œThe final blowâ€œ in boxing or â€œThe finishing strokeâ€ in tennis,coup de grace,11/12/1985,1985 Tournament of Champions quarterfinal game 2.,Expert
2,1000,no,FRENCH PHRASES,-,"Strictly required according to etiquette or usage, such as wearing a bow tie with your tux",de rigueur,11/12/1985,1985 Tournament of Champions quarterfinal game 2.,Expert
2,200,no,U. S. STATES,-,â€œAmerica's Dairylandâ€,Wisconsin,11/12/1985,1985 Tournament of Champions quarterfinal game 2.,Expert
2,400,no,U. S. STATES,-,"While Rhode Island has 5 counties, Delaware has only this many",3,11/12/1985,1985 Tournament of Champions quarterfinal game 2.,Expert
2,600,yes,U. S. STATES,-,"Cape May, in this state, is as far south as Washington, D.C.",New Jersey,11/12/1985,1985 Tournament of Champions quarterfinal game 2.,Expert
2,800,no,U. S. STATES,-,â€œBrown vs. Board of Educationâ€ dealt with school segregation in this state's capital,Kansas,11/12/1985,1985 Tournament of Champions quarterfinal game 2.,Expert
2,1000,no,U. S. STATES,-,Meredith Willson modeled his â€œRiver Cityâ€ on his home town of Mason City in this state,Iowa,11/12/1985,1985 Tournament of Champions quarterfinal game 2.,Expert
2,200,no,GENERALS,-,"In 1951 he told Congress, â€œI now close my military career & just fade awayâ€",General MacArthur,11/12/1985,1985 Tournament of Champions quarterfinal game 2.,Expert
2,1000,yes,GENERALS,-,[Audio DD] General with whom this movie theme is associated:,General Patton,11/12/1985,1985 Tournament of Champions quarterfinal game 2.,Expert
2,600,no,GENERALS,-,West Virginian who tried to avoid fighting on Sundays & became 2nd highest general of Confederacy,General (Stonewall) Jackson,11/12/1985,1985 Tournament of Champions quarterfinal game 2.,Expert
2,800,no,GENERALS,-,In 1968 he took over U. S. Vietnam command from General Westmoreland,General Creighton Abrams,11/12/1985,1985 Tournament of Champions quarterfinal game 2.,Expert
2,1000,no,GENERALS,-,French general & WWI Allied commander who predicted another war within 20 years,Ferdinand Foch,11/12/1985,1985 Tournament of Champions quarterfinal game 2.,Expert
2,200,no,IT TAKES A THIEF,-,What a thief called a â€œdipâ€ dips into,pocket,11/12/1985,1985 Tournament of Champions quarterfinal game 2.,Expert
2,400,no,IT TAKES A THIEF,-,He played Alexander Mundy on TV's â€œIt Takes a Thiefâ€,Robert Wagner,11/12/1985,1985 Tournament of Champions quarterfinal game 2.,Expert
2,600,no,IT TAKES A THIEF,-,"O. Henry's life resembled that of this honest crook he created, perhaps on Feb. 14th",Jimmy Valentine,11/12/1985,1985 Tournament of Champions quarterfinal game 2.,Expert
2,800,no,IT TAKES A THIEF,-,English novelist Ernest Hornung created this â€œgentleman cracksmanâ€,Raffles,11/12/1985,1985 Tournament of Champions quarterfinal game 2.,Expert
2,1000,no,IT TAKES A THIEF,-,"Created by Edward Hoch, professional thief Nick Velvet will only steal objects of this value",valueless,11/12/1985,1985 Tournament of Champions quarterfinal game 2.,Expert
1,100,no,ROCKS & MINERALS,-,Term for the minerals from which metals are extracted,ore,11/13/1985,1985 Tournament of Champions quarterfinal game 3.,Expert
1,200,no,ROCKS & MINERALS,-,Single-letter chemical designation of a diamond,C,11/13/1985,1985 Tournament of Champions quarterfinal game 3.,Expert
1,300,no,ROCKS & MINERALS,-,"Largest block ever found of it in U.S., 56 tons, was used for Tomb of the Unknown Soldier",marble,11/13/1985,1985 Tournament of Champions quarterfinal game 3.,Expert
1,400,no,ROCKS & MINERALS,-,Mark Twain defined it as a hole in the groud with a liar standing at the top,mine,11/13/1985,1985 Tournament of Champions quarterfinal game 3.,Expert
1,500,no,ROCKS & MINERALS,-,"Fizzing when acid is applied, this mineral is the base of the Portland cement industry",limestone,11/13/1985,1985 Tournament of Champions quarterfinal game 3.,Expert
1,100,no,SHAKESPEARE,-,â€œSweets to the sweet: Farewell!â€ were Hamlet's mother's words at this woman's funeral,Ophelia,11/13/1985,1985 Tournament of Champions quarterfinal game 3.,Expert
1,200,no,SHAKESPEARE,-,Part of Cassius' anatomy Brutus calls â€œitchingâ€ when accusing him of greed,palm,11/13/1985,1985 Tournament of Champions quarterfinal game 3.,Expert
1,300,no,SHAKESPEARE,-,"â€œOther women cloy the appetites they feed, but she makes hungry where most she satisfiesâ€",Cleopatra,11/13/1985,1985 Tournament of Champions quarterfinal game 3.,Expert
1,400,no,SHAKESPEARE,-,"Susanna & the twins, Hamnet & Judith",Shakespeare's children,11/13/1985,1985 Tournament of Champions quarterfinal game 3.,Expert
1,500,no,SHAKESPEARE,-,The lines â€œAnd thereby hangs a taleâ€ & â€œAll the world's a stageâ€ come from this comedy,As You Like It,11/13/1985,1985 Tournament of Champions quarterfinal game 3.,Expert
1,100,no,SODA POP QUIZ,-,It's what gives soda pop the bubbles,carbon dioxide,11/13/1985,1985 Tournament of Champions quarterfinal game 3.,Expert
1,200,no,SODA POP QUIZ,-,Caleb Bradham named his elixir this because it was supposed to relieve dyspepsia,Pepsi Cola,11/13/1985,1985 Tournament of Champions quarterfinal game 3.,Expert
1,300,no,SODA POP QUIZ,-,"They spent $250,000 to develop a can so the shuttle crew could drink their new formula in space",Coke,11/13/1985,1985 Tournament of Champions quarterfinal game 3.,Expert
1,400,no,SODA POP QUIZ,-,Fenton & Fowler''s calls this elite Detroit ginger ale the best soft drink in the world,Vernor's,11/13/1985,1985 Tournament of Champions quarterfinal game 3.,Expert
1,500,no,SODA POP QUIZ,-,It was originally called bib-label lithiated lemon-lime soda,7 Up,11/13/1985,1985 Tournament of Champions quarterfinal game 3.,Expert
2,200,no,POLITICAL SLOGANS,-,"â€œHell no, we won't goâ€ was a chant often heard at rallies against this war",Vietnam War,11/13/1985,1985 Tournament of Champions quarterfinal game 3.,Expert
2,400,no,POLITICAL SLOGANS,-,In the early 1930s Americans were told that it was â€œjust around the cornerâ€,prosperity,11/13/1985,1985 Tournament of Champions quarterfinal game 3.,Expert
2,600,no,POLITICAL SLOGANS,-,He railed against the â€œdo-nothing 80th congressâ€ during his whistle-stop campaign,Truman,11/13/1985,1985 Tournament of Champions quarterfinal game 3.,Expert
2,800,no,POLITICAL SLOGANS,-,â€œFour more years of the full dinner pailâ€ symbolized this president's re-election campaign in 1900,McKinley,11/13/1985,1985 Tournament of Champions quarterfinal game 3.,Expert
2,1000,no,POLITICAL SLOGANS,-,"In 1912, this pres. candidate declared, â€œWe stand at Armageddon, & we battle for the Lordâ€",Teddy Roosevelt,11/13/1985,1985 Tournament of Champions quarterfinal game 3.,Expert
2,200,no,TREES,-,Arboreal symbol of strength,oak,11/13/1985,1985 Tournament of Champions quarterfinal game 3.,Expert
2,400,no,TREES,-,"Of the Tree of Life, Tree of Knowledge, or the Tree of Righteousness, the 1 forbidden to Adam",Knowledge,11/13/1985,1985 Tournament of Champions quarterfinal game 3.,Expert
2,600,no,TREES,-,The cry â€œsap's a runninâ€™â€ refers to this tree,maple tree,11/13/1985,1985 Tournament of Champions quarterfinal game 3.,Expert
2,200,yes,TREES,-,"Continent on which the densest, tallest & most valuable stand of timber is found",North America,11/13/1985,1985 Tournament of Champions quarterfinal game 3.,Expert
2,1000,no,TREES,-,Hindu for â€œtraderâ€ this unusual tree whose branches grow down can look like a mini-forest,Banyan,11/13/1985,1985 Tournament of Champions quarterfinal game 3.,Expert
2,200,no,RODGERS & HAMMERSTEIN,-,The pair's lyricist,Hammerstein,11/13/1985,1985 Tournament of Champions quarterfinal game 3.,Expert
2,400,no,RODGERS & HAMMERSTEIN,-,The â€œTimesâ€™â€ Brooks Atkinson called it â€œan original & beautiful excursion into... the Far East,The King and I,11/13/1985,1985 Tournament of Champions quarterfinal game 3.,Expert
2,600,no,RODGERS & HAMMERSTEIN,-,Their 1st professional collaboration was this 1943 landmark musical,Oklahoma!,11/13/1985,1985 Tournament of Champions quarterfinal game 3.,Expert
2,800,no,RODGERS & HAMMERSTEIN,-,Character who is â€œcorny as Kansas in Augustâ€,Nellie Forbush,11/13/1985,1985 Tournament of Champions quarterfinal game 3.,Expert
2,1000,no,RODGERS & HAMMERSTEIN,-,Stuart Damon & Lesley Ann Warren starred in this only R & H musical written for TV,Cinderella,11/13/1985,1985 Tournament of Champions quarterfinal game 3.,Expert
2,200,no,BRITISH HISTORY,-,They've been guarding British royalty since 1485 & gin bottles since 1820,Beefeaters,11/13/1985,1985 Tournament of Champions quarterfinal game 3.,Expert
2,400,no,BRITISH HISTORY,-,"Founder of the nursing profession, she was named after the city in which she was born",Florence Nightingale,11/13/1985,1985 Tournament of Champions quarterfinal game 3.,Expert
2,600,no,BRITISH HISTORY,-,First Roman army to invade Britain was led by this general,Caesar,11/13/1985,1985 Tournament of Champions quarterfinal game 3.,Expert
2,800,no,BRITISH HISTORY,-,"The penultimate Anglo-Saxon king, Edward was known by this pious title",Edward the Confessor,11/13/1985,1985 Tournament of Champions quarterfinal game 3.,Expert
2,1000,no,BRITISH HISTORY,-,"Though it sounds like a grim volume, it's just William the Conqueror's survey of the British kingdom",The Domesday Book,11/13/1985,1985 Tournament of Champions quarterfinal game 3.,Expert
2,200,no,HOLIDAYS,-,October holiday which Mexicans call Dia de la Raza is celebrated in the U.S. as this,Columbus Day,11/13/1985,1985 Tournament of Champions quarterfinal game 3.,Expert
2,400,no,HOLIDAYS,-,"Meaning â€œremoval of meatâ€, it's Rio's 4-day pre-Lenten festival",Carnival,11/13/1985,1985 Tournament of Champions quarterfinal game 3.,Expert
2,600,no,HOLIDAYS,-,O. Henry called it the most  â€œpurely Americanâ€ holiday,Thanksgiving,11/13/1985,1985 Tournament of Champions quarterfinal game 3.,Expert
2,800,no,HOLIDAYS,-,Muslims fast during daylight hours for this entire month,Ramadan,11/13/1985,1985 Tournament of Champions quarterfinal game 3.,Expert
2,1000,no,HOLIDAYS,-,"Until 1752, the 13 colonies observed Annunciation Day, the 25th of this month, as New Year's",March,11/13/1985,1985 Tournament of Champions quarterfinal game 3.,Expert
1,100,no,INSECTS,-,What's done to a pesky mosquito or an acronym for a police special weapons team,swat,11/14/1985,1985 Tournament of Champions quarterfinal game 4.,Expert
1,200,no,INSECTS,-,"Completes a Ben Franklin phrase, â€œHere skugg lies snug...â€",as a bug in a rug,11/14/1985,1985 Tournament of Champions quarterfinal game 4.,Expert
1,300,no,INSECTS,-,It's the shortest route taken back to the hive,beeline,11/14/1985,1985 Tournament of Champions quarterfinal game 4.,Expert
1,400,no,INSECTS,-,The actual title of â€œJimmy Crack Cornâ€,The Blue Tail Fly,11/14/1985,1985 Tournament of Champions quarterfinal game 4.,Expert
1,500,no,INSECTS,-,"Of its varieties, the atlas is 1 of the largest & the death's head hawk chirps by blowing its nose",moths,11/14/1985,1985 Tournament of Champions quarterfinal game 4.,Expert
1,100,no,AMERICAN REVOLUTION,-,"â€œThe regulars are out!â€ he warned Hancock & Adams on April 18, 1775",Paul Revere,11/14/1985,1985 Tournament of Champions quarterfinal game 4.,Expert
1,200,no,AMERICAN REVOLUTION,-,"General Howe faced him in Brandywine, Germantown, & Long Island battles",George Washington,11/14/1985,1985 Tournament of Champions quarterfinal game 4.,Expert
1,300,no,AMERICAN REVOLUTION,-,"Now site of a military academy, Benedict Arnold plotted to turn over its fort to the British",West Point,11/14/1985,1985 Tournament of Champions quarterfinal game 4.,Expert
1,400,no,AMERICAN REVOLUTION,-,Helping us fight bankrupted this country & sent it into internal revolution,France,11/14/1985,1985 Tournament of Champions quarterfinal game 4.,Expert
1,500,no,AMERICAN REVOLUTION,-,"This building marked by a grasshopper weather vane, gained nickname â€œThe cradle of libertyâ€",Faneuil Hall,11/14/1985,1985 Tournament of Champions quarterfinal game 4.,Expert
1,100,no,LAS VEGAS,-,"The Sands, Frontier, Desert Inn, & Landmark Hotels were once owned by this mysterious billionaire",Howard Hughes,11/14/1985,1985 Tournament of Champions quarterfinal game 4.,Expert
1,200,no,LAS VEGAS,-,"Appropriately, you'll find â€œThe Appian Wayâ€ at this hotel casino on The Strip",Caesar's Palace,11/14/1985,1985 Tournament of Champions quarterfinal game 4.,Expert
1,300,no,LAS VEGAS,-,The smallest denomination of coin that can be played in Las Vegas slots,penny,11/14/1985,1985 Tournament of Champions quarterfinal game 4.,Expert
1,400,no,LAS VEGAS,-,â€œSparklingâ€ nickname for Fremont St. in downtown Las Vegas,Glitter Gulch,11/14/1985,1985 Tournament of Champions quarterfinal game 4.,Expert
1,500,no,LAS VEGAS,-,Pastoral meaning of â€œLas Vegasâ€ in English inappropriate to its desert locale,the meadows,11/14/1985,1985 Tournament of Champions quarterfinal game 4.,Expert
1,100,no,POTENT POTABLES,-,"For wines, it never means the opposite of wet",dry,11/14/1985,1985 Tournament of Champions quarterfinal game 4.,Expert
1,200,no,POTENT POTABLES,-,"Bacardi, America's single best-selling brand of liquor, is this type",rum,11/14/1985,1985 Tournament of Champions quarterfinal game 4.,Expert
1,300,no,POTENT POTABLES,-,This series built around wine currently makes your TV a potent portable,Falcon Crest,11/14/1985,1985 Tournament of Champions quarterfinal game 4.,Expert
1,400,no,POTENT POTABLES,-,"Brooklynite Jennie Churchill, Winston's mother, created this whiskey & vermouth cocktail",Manhattan,11/14/1985,1985 Tournament of Champions quarterfinal game 4.,Expert
1,500,no,POTENT POTABLES,-,Slivovitz is a brandy made from this fruit,plum,11/14/1985,1985 Tournament of Champions quarterfinal game 4.,Expert
1,100,no,Â€ŒSTREETSÂ€,-,Financiers literally made a big impact on this street in October 1929,Wall Street,11/14/1985,1985 Tournament of Champions quarterfinal game 4.,Expert
1,200,no,Â€ŒSTREETSÂ€,-,"London street where in the '60s, you'd find the mods & the miniskirts",Carnaby Street,11/14/1985,1985 Tournament of Champions quarterfinal game 4.,Expert
1,500,yes,Â€ŒSTREETSÂ€,-,"[Audio DD] In 1978, Gerry Rafferty found his way down this street:",Baker Street,11/14/1985,1985 Tournament of Champions quarterfinal game 4.,Expert
1,400,no,Â€ŒSTREETSÂ€,-,1973 Martin Scorsese film starring Robert De Niro about hoodlums in NYC's Little Italy,Mean Streets,11/14/1985,1985 Tournament of Champions quarterfinal game 4.,Expert
