round,value,daily_double,category,comments,answer,question,air_date,notes,Difficulty
2,1000,no,WASHINGTON D.C.,-,"Tho work on it began in 1907, this famed Episcopal church has never been completed",Washington Cathedral (Church of St. Peter or National Cathedral),5/11/1987,1987 Senior Tournament quarterfinal game 1.,Medium
2,200,no,DOUBLE MEANINGS,-,"A strapless slipper, or the farm animal who's probably too stubborn to wear it",mule,5/11/1987,1987 Senior Tournament quarterfinal game 1.,Medium
2,400,no,DOUBLE MEANINGS,-,"Southern slang for a peanut, or southern name for a Pyle on ""The Andy Griffith Show\""",goober,5/11/1987,1987 Senior Tournament quarterfinal game 1.,Medium
2,800,no,DOUBLE MEANINGS,-,"The Archbishop of Manila, or what you shouldn't commit in front of him",Cardinal Sin,5/11/1987,1987 Senior Tournament quarterfinal game 1.,Medium
2,1000,no,DOUBLE MEANINGS,-,"A proverbial saying, or the brand of coffee you drink while thinking of it",maxim,5/11/1987,1987 Senior Tournament quarterfinal game 1.,Medium
2,200,no,LITERATURE,-,"F. Tennyson & C. Tennyson Turner wrote ""Poems by 2 Brothers"" with this more famous brother",Alfred Lord Tennyson,5/11/1987,1987 Senior Tournament quarterfinal game 1.,Medium
2,400,no,LITERATURE,-,"Tho not usually regarded as black authors, this former French pere & fils were of black heritage",Dumas,5/11/1987,1987 Senior Tournament quarterfinal game 1.,Medium
2,600,no,LITERATURE,-,"Tho his novel ""The Rainbow"" was banned as ""obscene"", he wrote a sequel, ""Women in Love"", anyway",D.H. Lawrence,5/11/1987,1987 Senior Tournament quarterfinal game 1.,Medium
2,800,no,LITERATURE,-,"He won Pulitzer Prizes for ""Alice Adams"" & ""The Magnificent Ambersons\""",Booth Tarkington,5/11/1987,1987 Senior Tournament quarterfinal game 1.,Medium
2,1000,no,LITERATURE,-,"Religious mania forced this Russian to burn his sequel to his great novel ""Dead Souls\""",Gogol,5/11/1987,1987 Senior Tournament quarterfinal game 1.,Medium
2,200,no,SINGING COWBOYS,-,"Apple Valley's most famous citizen, he once sponsored a girls' bowling team called the ""Triggerettes\""",Roy Rogers,5/11/1987,1987 Senior Tournament quarterfinal game 1.,Medium
2,400,no,SINGING COWBOYS,-,"Abbreviate his native state & you'll find his 1st name; watch ""Three's Company"" & you'll find his  son",Tex Ritter,5/11/1987,1987 Senior Tournament quarterfinal game 1.,Medium
2,200,no,GIRLS IN SONG,-,"On their knees, baritones sing to her, ""You is my woman now\""",Bess,5/11/1987,1987 Senior Tournament quarterfinal game 1.,Medium
2,400,no,GIRLS IN SONG,-,"As George M. Cohan said ""It's a grand old name\""",Mary,5/11/1987,1987 Senior Tournament quarterfinal game 1.,Medium
2,600,no,GIRLS IN SONG,-,"If your name is this, & you're Irish, ""I'll take you home again\""",Kathleen,5/11/1987,1987 Senior Tournament quarterfinal game 1.,Medium
2,800,no,GIRLS IN SONG,-,"Of her, it's asked ""When did your sparkle turn to fire & your warmth become desire?\""",Gigi,5/11/1987,1987 Senior Tournament quarterfinal game 1.,Medium
2,1000,no,GIRLS IN SONG,-,"\""At night, dear heart, for you I pine,"" usually in groups of 4","\""Sweet Adeline\""",5/11/1987,1987 Senior Tournament quarterfinal game 1.,Medium
3,0,no,TELEVISION,-,"It was Steve Allen who coined this show's question, ""Is it bigger than a breadbox?\""",What's My Line?,5/11/1987,1987 Senior Tournament quarterfinal game 1.,Medium
1,100,no,WORLD GEOGRAPHY,-,"All the countries whose names end in ""guay"" are on this continent",South America,5/12/1987,1987 Senior Tournament quarterfinal game 2.,Medium
1,200,no,WORLD GEOGRAPHY,-,One source says this city was founded in 200 A.D. by the Polish Duke of Krak,Krakow,5/12/1987,1987 Senior Tournament quarterfinal game 2.,Medium
1,300,no,WORLD GEOGRAPHY,-,"4th largest European nation, it is divided into Gotaland, Sveland, & Norrland",Sweden,5/12/1987,1987 Senior Tournament quarterfinal game 2.,Medium
1,400,no,WORLD GEOGRAPHY,-,Number of oceans crossed by the Tropic of Cancer,2,5/12/1987,1987 Senior Tournament quarterfinal game 2.,Medium
1,500,no,WORLD GEOGRAPHY,-,"River port of over 600,000 people in the heart of Brazil's Amazon rain forest",Manaus,5/12/1987,1987 Senior Tournament quarterfinal game 2.,Medium
1,100,no,INITIALS,-,This director's initials stood for David Wark,D.W. Griffith,5/12/1987,1987 Senior Tournament quarterfinal game 2.,Medium
1,200,no,INITIALS,-,"An order marked as ""A.S.A.P."" should, per instructions, be done this way",as soon as possible,5/12/1987,1987 Senior Tournament quarterfinal game 2.,Medium
1,300,no,INITIALS,-,"Initials preceding ""choice"" or ""prime"" you might see on the cut of beef you just bought",U.S.D.A.,5/12/1987,1987 Senior Tournament quarterfinal game 2.,Medium
1,400,no,INITIALS,-,"The 3rd ""A"" in AAA or the 1st ""A"" in the NAACP",Association,5/12/1987,1987 Senior Tournament quarterfinal game 2.,Medium
1,500,no,INITIALS,-,It's Walter Mondale's middle initial as well as Edward Hutton's,F.,5/12/1987,1987 Senior Tournament quarterfinal game 2.,Medium
1,100,no,POULTRY,-,"Time it takes for 2,220,000 eggs to be laid at California's ""Egg City"", world's largest chicken ranch",one day,5/12/1987,1987 Senior Tournament quarterfinal game 2.,Medium
1,100,no,ANATOMY,-,"This limb's abductors aren't kidnappers, but the muscles that move it toward the chest",arm,5/12/1987,1987 Senior Tournament quarterfinal game 2.,Medium
1,200,no,ANATOMY,-,A hollow core of dentin filled with pulp & capped with enamel,tooth,5/12/1987,1987 Senior Tournament quarterfinal game 2.,Medium
1,300,no,ANATOMY,-,"Whether you're Buddy Rich or not, your tympanic membrane is commonly called this",eardrum,5/12/1987,1987 Senior Tournament quarterfinal game 2.,Medium
1,100,no,BIOGRAPHIES,-,"\""The Case of the Real Perry Mason\""",Erle Stanley Gardner,5/12/1987,1987 Senior Tournament quarterfinal game 2.,Medium
1,200,no,BIOGRAPHIES,-,"\""Road to Tara\""",Margaret Mitchell,5/12/1987,1987 Senior Tournament quarterfinal game 2.,Medium
1,300,no,BIOGRAPHIES,-,"\""Mrs. Simpson\""",Wallis Simpson or Duchess of Windsor,5/12/1987,1987 Senior Tournament quarterfinal game 2.,Medium
1,400,no,BIOGRAPHIES,-,"\""The Importance of Being Oscar\""",Oscar Wilde,5/12/1987,1987 Senior Tournament quarterfinal game 2.,Medium
1,500,no,BIOGRAPHIES,-,"\""The Unimportance of Being Oscar\""",Oscar Levant,5/12/1987,1987 Senior Tournament quarterfinal game 2.,Medium
1,100,no,"\""SOME"" SONGS",-,"Song from ""Snow White"" that Fergie might sing while waiting for Andy to return from sea duty","\""Someday My Prince Will Come\""",5/12/1987,1987 Senior Tournament quarterfinal game 2.,Medium
1,200,no,"\""SOME"" SONGS",-,"The song from ""South Pacific"" that fits this category","\""Some Enchanted Evening\""",5/12/1987,1987 Senior Tournament quarterfinal game 2.,Medium
1,300,no,"\""SOME"" SONGS",-,Just ask Dr. Zhivago: He'll tell you it's the title of Lara's theme,"\""Somewhere My Love\""",5/12/1987,1987 Senior Tournament quarterfinal game 2.,Medium
1,400,no,"\""SOME"" SONGS",-,"\""When an irresistible force such as you meets an old immovable object like me...\""","\""Something's Gotta Give\""",5/12/1987,1987 Senior Tournament quarterfinal game 2.,Medium
1,500,no,"\""SOME"" SONGS",-,"\""There's a somebody I'm longing to see, I hope that he turns out to be...\""","\""Someone to Watch Over Me\""",5/12/1987,1987 Senior Tournament quarterfinal game 2.,Medium
2,1000,no,THE OLD WEST,-,Colorado gold-mining district which got its name from stream which injured cattle crossing it,Cripple Creek,5/12/1987,1987 Senior Tournament quarterfinal game 2.,Medium
2,200,no,CLASSIC CINEMA,-,"Versions of it have starred Neil Diamond, Danny Thomas & Al Jolson",The Jazz Singer,5/12/1987,1987 Senior Tournament quarterfinal game 2.,Medium
2,400,no,CLASSIC CINEMA,-,"1945's ""The Bells of St. Mary's"" was the sequel to this 1944 film",Going My Way,5/12/1987,1987 Senior Tournament quarterfinal game 2.,Medium
2,1000,yes,CLASSIC CINEMA,-,"In ""Night of the Hunter"", Robert Mitchum has these 2 4-letter words tattooed on his fingers",love & hate,5/12/1987,1987 Senior Tournament quarterfinal game 2.,Medium
2,800,no,CLASSIC CINEMA,-,"In ""Kind Hearts & Coronets"", he played 8 roles, including Lady Agatha",Alec Guinness,5/12/1987,1987 Senior Tournament quarterfinal game 2.,Medium
2,1000,no,CLASSIC CINEMA,-,"Among the films he's directed are 1948's ""Oliver Twist"" & ""A Passage to India\""",David Lean,5/12/1987,1987 Senior Tournament quarterfinal game 2.,Medium
2,400,no,FINANCIAL FIASCOS,-,"Of $36,000, $875,000, or $2.28 million, value of sapphire a rockhound sold at '86 gem show for 10 bucks",$2.28 million,5/12/1987,1987 Senior Tournament quarterfinal game 2.,Medium
2,600,no,FINANCIAL FIASCOS,-,"McGraw-Hill paid a $765,000 advance for his ""autobiography"" of Howard Hughes--but couldn't publish it",Irving,5/12/1987,1987 Senior Tournament quarterfinal game 2.,Medium
2,800,no,FINANCIAL FIASCOS,-,IOS was headed first by Bernie Cornfeld & later by this fugitive financier,Robert Vesco,5/12/1987,1987 Senior Tournament quarterfinal game 2.,Medium
2,1000,no,FINANCIAL FIASCOS,-,The scheme of paying old investors with new investor's money bears the name of this Italian con man,Charles Ponzi,5/12/1987,1987 Senior Tournament quarterfinal game 2.,Medium
2,200,no,PRESIDENTIAL QUOTES,-,"\""We stand today on the edge of a New Frontier\""",John F. Kennedy,5/12/1987,1987 Senior Tournament quarterfinal game 2.,Medium
2,400,no,PRESIDENTIAL QUOTES,-,"\""Some of my best friends are MX missiles\""",Ronald Reagan,5/12/1987,1987 Senior Tournament quarterfinal game 2.,Medium
2,600,no,PRESIDENTIAL QUOTES,-,"\""It is time for the great silent majority of Americans to stand up & be counted\""",Richard Nixon,5/12/1987,1987 Senior Tournament quarterfinal game 2.,Medium
2,800,no,PRESIDENTIAL QUOTES,-,"\""I shall go to Korea\""",Dwight Eisenhower,5/12/1987,1987 Senior Tournament quarterfinal game 2.,Medium
2,1000,no,PRESIDENTIAL QUOTES,-,"\""I have sworn upon the altar of God, eternal hostility against every form of tyranny over the mind of man\""",Thomas Jefferson,5/12/1987,1987 Senior Tournament quarterfinal game 2.,Medium
2,400,no,AUTOMOBILES,-,Only currently marketed U.S. car named for a president,Lincoln,5/12/1987,1987 Senior Tournament quarterfinal game 2.,Medium
2,600,no,AUTOMOBILES,-,"Only 110,847 cars were ever made with this Ford nameplate, all during 1957-59",Edsel,5/12/1987,1987 Senior Tournament quarterfinal game 2.,Medium
2,800,no,AUTOMOBILES,-,"After buying Chrysler's European branches, this French company became Europe's biggest carmaker",Peugeot,5/12/1987,1987 Senior Tournament quarterfinal game 2.,Medium
2,1000,yes,AUTOMOBILES,-,The 2 men who founded the company that now makes Mercedes-Benz cars,Daimler & Benz,5/12/1987,1987 Senior Tournament quarterfinal game 2.,Medium
2,200,no,HARD WOOD,-,Ted Turner said these have no future because there aren't enough trees left to keep making wood pulp,newspapers,5/12/1987,1987 Senior Tournament quarterfinal game 2.,Medium
2,400,no,HARD WOOD,-,"This eating utensil's name is from Old English for a ""chip of wood\""",spoon,5/12/1987,1987 Senior Tournament quarterfinal game 2.,Medium
2,600,no,HARD WOOD,-,Only National Hockey League with a type of tree mentioned in their name,(Toronto) Maple Leafs,5/12/1987,1987 Senior Tournament quarterfinal game 2.,Medium
2,800,no,HARD WOOD,-,The power ring of the 1940s version of this super hero was useless against wood,Green Lantern,5/12/1987,1987 Senior Tournament quarterfinal game 2.,Medium
2,1000,no,HARD WOOD,-,If God had taken this day off in creating the world we wouldn't have wood today,3rd day,5/12/1987,1987 Senior Tournament quarterfinal game 2.,Medium
3,0,no,THE 1930S,-,"In the '30s, these 2--a little girl & a big ape--were both called ""The 8th Wonder of the World\""",Shirley Temple & King Kong,5/12/1987,1987 Senior Tournament quarterfinal game 2.,Medium
1,100,no,SEA LIFE,-,A sea otter eats & sleeps while floating in this position,on his back,5/13/1987,1987 Senior Tournament quarterfinal game 3.,Medium
1,200,no,SEA LIFE,-,"A hawksbill, loggerhead or leatherback",sea turtles,5/13/1987,1987 Senior Tournament quarterfinal game 3.,Medium
1,300,no,SEA LIFE,-,"Among fish, while a manta is a ray, a moray is one of these",eel,5/13/1987,1987 Senior Tournament quarterfinal game 3.,Medium
1,400,no,SEA LIFE,-,"A sea star doesn't refer to Lloyd Bridges, but to this creature",starfish,5/13/1987,1987 Senior Tournament quarterfinal game 3.,Medium
1,500,no,SEA LIFE,-,"Its varieties include mushroom, horny, brain & staghorn",coral,5/13/1987,1987 Senior Tournament quarterfinal game 3.,Medium
1,100,no,GEOGRAPHICAL SONGS,-,"\""I'll go home & get my panties, you go home & get your scanties"" & we'll ""shuffle off to"" here",Buffalo,5/13/1987,1987 Senior Tournament quarterfinal game 3.,Medium
1,200,no,GEOGRAPHICAL SONGS,-,"\""My heart beat like a hammer, my arms wound around you tight, & stars fell on"" this state",Alabama,5/13/1987,1987 Senior Tournament quarterfinal game 3.,Medium
1,300,no,GEOGRAPHICAL SONGS,-,"\""When it's springtime"" here, ""I am coming back to you, little sweetheart of the mountains\""",Rockies,5/13/1987,1987 Senior Tournament quarterfinal game 3.,Medium
1,400,no,GEOGRAPHICAL SONGS,-,"Patti Page lost her ""little darlin' the night they were playin' "" this","\""Tennessee Waltz\""",5/13/1987,1987 Senior Tournament quarterfinal game 3.,Medium
1,500,no,GEOGRAPHICAL SONGS,-,"This song about night in a N. England state begins ""pennies in a stream, falling leaves, a sycamore...\""","\""Moonlight in Vermont\""",5/13/1987,1987 Senior Tournament quarterfinal game 3.,Medium
1,100,no,THE FUNNIES,-,Comic strip character who's given his name to a multilayered sandwich,Dagwood,5/13/1987,1987 Senior Tournament quarterfinal game 3.,Medium
1,200,no,THE FUNNIES,-,Broom Hilda's buddy Gaylord is this type of creature,vulture,5/13/1987,1987 Senior Tournament quarterfinal game 3.,Medium
1,300,no,THE FUNNIES,-,"Inseparable pair; when she said ""Leapin' lizards"", he frequently replied ""arf\""",Sandy & Orphan Annie,5/13/1987,1987 Senior Tournament quarterfinal game 3.,Medium
1,400,no,THE FUNNIES,-,"5-year old ""enfant terrible"" who turned 35 in 1986",Dennis the Menace,5/13/1987,1987 Senior Tournament quarterfinal game 3.,Medium
1,500,no,THE FUNNIES,-,"In ""The Funnies"" by White & Abel, she's described as ""The child-woman created by Ernie Bushmiller\""",Nancy,5/13/1987,1987 Senior Tournament quarterfinal game 3.,Medium
1,100,no,SPORTS,-,"In 1930, Don Bradman didn't find many sticky wickets as he scored 974 runs in this sport",cricket,5/13/1987,1987 Senior Tournament quarterfinal game 3.,Medium
1,200,no,SPORTS,-,"In this sport, a pro team usually suits up 20 men per game, including 2 goalies",ice hockey,5/13/1987,1987 Senior Tournament quarterfinal game 3.,Medium
1,300,no,SPORTS,-,"In the autumn of 1909, the collegiate death toll in this sport was 33",football,5/13/1987,1987 Senior Tournament quarterfinal game 3.,Medium
1,400,no,SPORTS,-,"In pro basketball, this happens to a player after 2 technical fouls",ejected from the game,5/13/1987,1987 Senior Tournament quarterfinal game 3.,Medium
1,500,no,SPORTS,-,"Of Joe Louis, Muhammad Ali, or George Foreman, heavyweight champ with highest career KO percentage",(George) Foreman,5/13/1987,1987 Senior Tournament quarterfinal game 3.,Medium
1,100,no,AMY VANDERBILT SAYS,-,"When you're finished eating, where you should place the napkin in relation to your plate",at the left,5/13/1987,1987 Senior Tournament quarterfinal game 3.,Medium
1,100,no,ACTORS & ROLES,-,"This comedian made ""Easy Money"" in 1983 & went ""Back to School"" in 1986",Rodney Dangerfield,5/13/1987,1987 Senior Tournament quarterfinal game 3.,Medium
1,200,no,ACTORS & ROLES,-,"Of Dick, Jane, or William Powell, the 1 who was in ""The Thin Man\""",William Powell,5/13/1987,1987 Senior Tournament quarterfinal game 3.,Medium
1,300,no,ACTORS & ROLES,-,"She married Charles Laughton in real life & was ""The Bride of Frankenstein"" on screen",Elsa Lanchester,5/13/1987,1987 Senior Tournament quarterfinal game 3.,Medium
1,1000,yes,ACTORS & ROLES,-,2 recent films from Disney Studios in which Bette Midler played distraught wives named Barbara,Ruthless People & Down and Out in Beverly Hills,5/13/1987,1987 Senior Tournament quarterfinal game 3.,Medium
1,500,no,ACTORS & ROLES,-,"\""Pink Panther"" regular played by Burt Kwouk",Cato,5/13/1987,1987 Senior Tournament quarterfinal game 3.,Medium
2,200,no,MATHEMATICS,-,With one you can draw a circle; without one you might travel in a circle,compass,5/13/1987,1987 Senior Tournament quarterfinal game 3.,Medium
2,400,no,MATHEMATICS,-,"Next in the sequence 1,5,9,13,...",17,5/13/1987,1987 Senior Tournament quarterfinal game 3.,Medium
2,600,no,MATHEMATICS,-,Banks compute this by the formula: principal x rate x time,interest,5/13/1987,1987 Senior Tournament quarterfinal game 3.,Medium
2,800,no,MATHEMATICS,-,"In 300 B.C., students who skipped his class in Alexanderia missed the ""Elements"" of geometry",Euclid,5/13/1987,1987 Senior Tournament quarterfinal game 3.,Medium
2,1000,no,MATHEMATICS,-,Analytic geometry combines geometry with this branch of arithmetic,algebra,5/13/1987,1987 Senior Tournament quarterfinal game 3.,Medium
2,200,no,RADIO DRAMA,-,"Its scripts were dramatized stories from the files in the LAPD; the names were changed, of course",Dragnet,5/13/1987,1987 Senior Tournament quarterfinal game 3.,Medium
2,400,no,RADIO DRAMA,-,Brace Beemer was an announcer on this show before he donned the mask as its star,The Lone Ranger,5/13/1987,1987 Senior Tournament quarterfinal game 3.,Medium
2,600,no,RADIO DRAMA,-,"The actors who played Paul, Cliff, & Nicky in ""One Man's Family"", played Jack, Doc, & Reggie on this show",I Love a Mystery,5/13/1987,1987 Senior Tournament quarterfinal game 3.,Medium
2,800,no,RADIO DRAMA,-,"With his theme ""Someday I'll Find You"", this character was the ""Tracer of Lost Persons\""",Mr. Keen,5/13/1987,1987 Senior Tournament quarterfinal game 3.,Medium
2,1000,no,RADIO DRAMA,-,Virginia Payne played this soap's title character for its entire 27 year run,Ma Perkins,5/13/1987,1987 Senior Tournament quarterfinal game 3.,Medium
2,200,no,HISTORY,-,Royal couple who decreed the expulsion of Jews from Spain in 1492,Ferdinand & Isabella,5/13/1987,1987 Senior Tournament quarterfinal game 3.,Medium
2,400,no,HISTORY,-,"During his expedition begun in 1838, Lt. Charles Wilkes proved this was a continent",Antarctica,5/13/1987,1987 Senior Tournament quarterfinal game 3.,Medium
2,750,yes,HISTORY,-,"2 North American wars in which a ""Battle of Wilderness"" was fought, 1 in 1755 & 1 in 1864",Civil War & French & Indian War,5/13/1987,1987 Senior Tournament quarterfinal game 3.,Medium
2,800,no,HISTORY,-,"Technically a Bohemian duke, this murdered 10th century saint is the subject of a Christmas carol",King Wenceslas,5/13/1987,1987 Senior Tournament quarterfinal game 3.,Medium
2,1000,no,HISTORY,-,The century in which England last had any queen named Elizabeth prior to Elizabeth II,20th century,5/13/1987,1987 Senior Tournament quarterfinal game 3.,Medium
2,200,no,CORPORATE AMERICA,-,"For Expo '86, this company built a McBarge, its 1st floating restaurant",McDonald's,5/13/1987,1987 Senior Tournament quarterfinal game 3.,Medium
2,400,no,CORPORATE AMERICA,-,"In 1904, it was founded by Amadeo Peter Giannini as the Bank of Italy, but became this in 1930",Bank of America,5/13/1987,1987 Senior Tournament quarterfinal game 3.,Medium
2,600,no,CORPORATE AMERICA,-,A 3M scientist who sang in his church choir 1st used this lightly glued paper product to mark place in hymnal,Post-It,5/13/1987,1987 Senior Tournament quarterfinal game 3.,Medium
2,800,no,CORPORATE AMERICA,-,"Waldenbooks, which recently bought Brentano's, is owned by this #2 U.S. retailer",Kmart,5/13/1987,1987 Senior Tournament quarterfinal game 3.,Medium
2,1000,no,CORPORATE AMERICA,-,"In 1895, he led bankers who lent U.S. Treasury $31 million so it didn't need to stop currency redemption",(J.P.) Morgan,5/13/1987,1987 Senior Tournament quarterfinal game 3.,Medium
2,200,no,AFRICA,-,"Namib or Kalahari, for example",desert,5/13/1987,1987 Senior Tournament quarterfinal game 3.,Medium
2,400,no,AFRICA,-,The highest point in Tanzania; heck it's the highest point in all of Africa,Mt. Kilimanjaro,5/13/1987,1987 Senior Tournament quarterfinal game 3.,Medium
2,200,no,POTPOURRI,-,Minimum number of handles on a loving cup,2,5/13/1987,1987 Senior Tournament quarterfinal game 3.,Medium
2,400,no,POTPOURRI,-,The L.A. Times reports this symbol has been removed from most Vegas slots due to its sour image,lemon,5/13/1987,1987 Senior Tournament quarterfinal game 3.,Medium
2,600,no,POTPOURRI,-,"Common item taken on vacations that has an iris, diaphragm & speed control",camera,5/13/1987,1987 Senior Tournament quarterfinal game 3.,Medium
2,800,no,POTPOURRI,-,Albuquerque police learned German & Dutch to work with these European-trained operatives,dogs,5/13/1987,1987 Senior Tournament quarterfinal game 3.,Medium
2,1000,no,POTPOURRI,-,"Option on ballot offered to Nevada's voters, it ""won"" the state treasurer primary in 1986",none of the above,5/13/1987,1987 Senior Tournament quarterfinal game 3.,Medium
3,0,no,BUSINESS & INDUSTRY,-,"The book ""Sold American!"" deals with this industry",tobacco industry,5/13/1987,1987 Senior Tournament quarterfinal game 3.,Medium
1,100,no,LIFE BEGINS AT 40,-,"In 1951, this 40-year-old gave birth to a classic sitcom shortly after bearing daughter Lucie",Lucille Ball,5/14/1987,1987 Senior Tournament quarterfinal game 4.,Medium
1,200,no,LIFE BEGINS AT 40,-,"Released from prison at 40, he began career as a fight promoter, apparently a hair-raising experience",Don King,5/14/1987,1987 Senior Tournament quarterfinal game 4.,Medium
